"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-09-21",,"84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-09-23",,"87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-09-24",,"87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-09-25",,"87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-09-26",,"85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-09-27",,"87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-09-28",,"81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-09-29",,"82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-09-30",,"86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1976-06-12",,"78",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1976-07-05",,"80",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-01","0.00","76",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-03","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-04",,"80",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-08","0.39","80",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-09","0.31","81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-10","0.00","81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-11",,"79",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-12","0.00","80",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-15","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-16","0.00","81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-17","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-18",,"86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-19","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-20","0.00","81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-21","0.00","82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-23","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-24","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-25","0.00","82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-26","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-27","0.00","82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-28","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-03-30","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-01","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-02","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-03","0.00","82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-04","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-05","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-06","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-07","0.00","81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-10","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-11","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-13","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-14","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-15","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-16","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-18","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-19","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-20","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-21","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-22","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-23","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-24","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-25","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-26","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-27","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-28","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-29","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-04-30","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-01","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-02","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-03","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-04","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-05","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-06","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-07","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-08",,"84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-10","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-11","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-12","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-13","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-14","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-15","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-16","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-17","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-18","0.00","88",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-19","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-20","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-21","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-22","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-23","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-24","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-25","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-26","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-27","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-28","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-29","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-30","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-05-31","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-01","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-02","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-03","0.00","82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-04","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-05","0.00","82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-06","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-08","0.00","82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-09","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-10",,"85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-11","0.00","81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-13","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-14","0.00","82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-15","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-16",,"85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-17","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-18","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-20","0.00","81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-21","0.00","82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-22","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-24","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-25","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-26","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-28","0.00","82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-29","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-06-30","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-02","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-04","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-06","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-07","0.00","81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-07-08","0.00","85",,
